timestamp_ms,lat,lon,alt_m,heading_deg,groundspeed_mps,sysid
22000,50.4496489,30.5242801,90.31,169.96,3.73,1
22500,50.4496289,30.5242831,90.38,181.34,3.60,1
23000,50.4496222,30.5242747,91.18,191.68,3.50,1
23500,50.4496009,30.5242723,89.56,199.61,3.23,1
24000,50.4495847,30.5242609,90.62,211.09,3.50,1
24500,50.4495706,30.5242425,89.46,218.13,3.50,1
25000,50.4495541,30.5242310,90.02,230.93,3.67,1
25500,50.4495515,30.5242190,90.09,240.32,3.54,1
26000,50.4495489,30.5241824,89.98,251.05,3.63,1
26500,50.4495434,30.5241722,89.92,260.39,3.31,1
27000,50.4495378,30.5241394,90.82,268.40,3.67,1
27500,50.4495384,30.5241137,90.32,278.64,3.59,1
28000,50.4495451,30.5241004,90.28,292.17,3.43,1
28500,50.4495572,30.5240678,90.13,303.91,3.57,1
29000,50.4495609,30.5240468,90.28,307.52,3.48,1
29500,50.4495689,30.5240329,90.03,322.00,3.42,1
30000,50.4495826,30.5240229,90.69,330.52,3.57,1
30500,50.4495966,30.5240099,91.03,340.56,3.43,1
31000,50.4496181,30.5240099,89.56,349.75,3.38,1
31500,50.4496305,30.5240097,89.20,0.50,3.58,1
32000,50.4496454,30.5240043,89.85,9.82,3.34,1
32500,50.4496617,30.5240029,89.64,18.38,3.54,1
33000,50.4496728,30.5240136,89.51,28.45,3.27,1
33500,50.4496841,30.5240214,90.25,41.25,3.74,1
34000,50.4496956,30.5240524,89.41,51.65,3.53,1
34500,50.4497088,30.5240775,89.10,59.33,3.59,1
35000,50.4497138,30.5240901,90.17,69.77,3.66,1
35500,50.4497245,30.5241151,89.36,78.23,3.38,1
36000,50.4497208,30.5241436,89.74,93.04,3.55,1
36500,50.4497195,30.5241657,89.86,100.14,3.46,1
37000,50.4497182,30.5241847,90.13,108.22,3.59,1
37500,50.4497080,30.5242035,89.18,121.57,3.21,1
38000,50.4497005,30.5242183,89.48,130.52,3.57,1
38500,50.4496863,30.5242469,90.19,141.41,3.47,1
39000,50.4496736,30.5242555,90.08,151.09,3.43,1
39500,50.4496552,30.5242694,89.92,160.18,3.53,1
40000,50.4496415,30.5242881,90.24,170.76,3.31,1
40500,50.4496271,30.5242749,89.91,180.24,3.43,1
41000,50.4496135,30.5242793,89.84,191.76,3.26,1
41500,50.4496014,30.5242737,90.62,197.17,3.37,1
42000,50.4495827,30.5242529,89.79,210.95,3.23,1
42500,50.4495747,30.5242503,90.59,218.07,3.52,1
43000,50.4495562,30.5242348,89.10,228.88,3.59,1
43500,50.4495491,30.5242114,89.97,240.52,3.65,1
44000,50.4495482,30.5241847,90.30,251.39,3.51,1
44500,50.4495365,30.5241717,89.92,259.35,3.22,1
45000,50.4495408,30.5241400,90.06,269.83,3.51,1
45500,50.4495445,30.5241203,90.54,281.90,3.43,1
46000,50.4495471,30.5240954,90.39,289.50,3.53,1
46500,50.4495561,30.5240739,91.00,300.02,3.49,1
47000,50.4495573,30.5240441,90.30,312.39,3.39,1
47500,50.4495745,30.5240188,89.88,320.77,3.44,1
48000,50.4495820,30.5240217,90.14,328.24,3.43,1
48500,50.4496041,30.5240182,90.54,341.15,3.55,1
49000,50.4496157,30.5239909,90.17,352.01,3.69,1
49500,50.4496313,30.5239972,90.13,0.38,3.60,1
50000,50.4496410,30.5240088,89.44,9.40,3.43,1
50500,50.4496631,30.5240073,90.21,21.28,3.57,1
51000,50.4496725,30.5240151,90.20,31.69,3.23,1
51500,50.4496880,30.5240442,89.41,40.05,3.35,1
52000,50.4497066,30.5240545,89.78,49.73,3.47,1
52500,50.4497022,30.5240715,90.11,60.40,3.55,1
53000,50.4497135,30.5240853,89.87,71.07,3.55,1
53500,50.4497166,30.5241204,90.36,78.91,4.01,1
54000,50.4497278,30.5241410,90.32,89.54,3.59,1
54500,50.4497174,30.5241667,90.04,98.28,3.66,1
55000,50.4497114,30.5241845,90.37,111.85,3.65,1
55500,50.4497079,30.5242015,89.95,120.50,3.45,1
56000,50.4496869,30.5242337,90.48,129.20,3.64,1
56500,50.4496930,30.5242513,89.97,139.37,3.42,1
57000,50.4496779,30.5242584,90.06,149.66,3.72,1
57500,50.4496612,30.5242737,90.40,160.78,3.42,1
58000,50.4496491,30.5242845,90.26,168.76,3.35,1
58500,50.4496304,30.5242856,89.83,177.15,3.81,1
59000,50.4496088,30.5242820,89.85,190.35,3.65,1
59500,50.4495929,30.5242689,90.21,198.54,3.33,1
60000,50.4495872,30.5242635,90.58,208.37,3.72,1
60500,50.4495794,30.5242439,90.03,221.27,3.40,1
61000,50.4495538,30.5242284,89.99,228.34,3.60,1
61500,50.4495552,30.5242035,89.11,241.00,3.44,1
62000,50.4495436,30.5241806,89.98,250.39,3.68,1
62500,50.4495413,30.5241600,89.78,260.02,3.71,1
63000,50.4495405,30.5241446,89.67,269.47,3.20,1
63500,50.4495406,30.5241143,90.92,278.26,3.28,1
64000,50.4495433,30.5240918,89.80,291.38,3.55,1
64500,50.4495541,30.5240634,90.51,300.80,3.53,1
65000,50.4495620,30.5240547,88.66,310.75,3.50,1
65500,50.4495704,30.5240353,90.28,321.63,3.58,1
66000,50.4495857,30.5240261,89.49,332.10,3.45,1
66500,50.4495960,30.5239916,90.44,341.10,3.49,1
67000,50.4496145,30.5240042,91.29,349.50,3.85,1
67500,50.4496340,30.5239946,90.53,359.28,3.78,1
68000,50.4496464,30.5240030,90.31,11.00,3.26,1
68500,50.4496613,30.5240048,89.70,20.21,3.51,1
69000,50.4496742,30.5240166,89.85,27.95,3.40,1
69500,50.4496828,30.5240327,90.01,39.67,3.48,1
70000,50.4496952,30.5240591,89.24,49.13,3.46,1
70500,50.4497021,30.5240768,89.54,61.49,3.52,1
71000,50.4497077,30.5240956,90.24,71.38,3.53,1
71500,50.4497165,30.5241198,89.94,78.68,3.43,1
72000,50.4497190,30.5241326,90.35,89.20,3.83,1
